SampleID	Richness	Chao1	ACE	Shannon	Simpson	Evenness
CK12	1587	1666.54545454545	1661.2868100146	3.89645120510513	0.884009047836998	0.528719445308946
DA21	1731	1828.09923664122	1826.27270815136	4.07419640787719	0.948716447769045	0.54639861045608
CK31	1648	1750.20149253731	1748.40298923579	2.97111354302649	0.827996397638631	0.401105185326012
DA23	1900	2026.07407407407	2007.18098056117	4.12541796741548	0.946005050763944	0.546441263006896
DA13	1538	1619.10989010989	1610.98646828705	3.87829148717652	0.89737622005563	0.528504445871909
DA12	1510	1590.36144578313	1574.98752784228	3.79415835813359	0.88761823511124	0.518337209021781
A11	1557	1678.85185185185	1644.70329077279	3.20076323446238	0.847448002815591	0.435447410717521
AD32	1599	1741.5	1704.99019522241	3.7594826414685	0.943808141780582	0.509612918487319
A21	1645	1727.7027027027	1718.5540254004	3.64400343865885	0.913379139553317	0.492067459679598
CK21	1773	1888.23853211009	1861.0966476805	4.11698789001759	0.936612414007123	0.55036793637532
AD22	1651	1755.32727272727	1741.01972747439	3.3517993510709	0.866702662998825	0.45238731617925
CK22	1774	1910.89075630252	1879.79503130469	3.97488434428573	0.939879282348417	0.531331173425673
AD21	1734	1827.52941176471	1828.68646231029	3.51107318567102	0.910335570147754	0.470767705659285
AD12	1597	1701.50632911392	1674.74632257273	3.55367632231046	0.886366306205351	0.481796787272484
DA22	2028	2211.49032258065	2185.76733032493	4.15842308954984	0.959296865855362	0.54609709511697
A23	1945	2050.15555555556	2040.01664593321	4.0963313422805	0.947171318514907	0.540911396842072
CK23	1759	1879.30508474576	1859.80717108575	4.0586986811113	0.930511287837518	0.543151325072748
AD33	1583	1731.07692307692	1693.71391083806	3.72408838413703	0.938363004109214	0.505504198458483
AD31	1612	1692.80373831776	1681.49045796683	3.80750922308543	0.939206809514386	0.515557233449977
DA11	1494	1568.94382022472	1562.98533179437	3.80421087823648	0.886845761358944	0.520467963975475
CK33	1764	1869.15555555556	1858.90091874558	3.76752334826409	0.938787923138609	0.503993628788736
AD23	1674	1840.69230769231	1811.05971190016	2.59598917268696	0.738476455179411	0.34972372718269
A22	1597	1697.56382978723	1677.64336542569	3.9702235972782	0.947048954973201	0.538271018638632
AD11	1591	1677.5145631068	1671.41763550291	3.4577952972029	0.860632684890961	0.469036887894555
AD13	1525	1587.12903225806	1587.30258258049	3.49407621235514	0.868187160294768	0.476697890185667
CK13	1562	1647.16483516484	1635.95622562889	3.85457829548421	0.885238552054249	0.524166962294691
A13	1654	1748.14814814815	1725.22231820177	3.40878969454797	0.849045854195232	0.459966513313719
A12	1587	1683.03658536585	1653.92536685752	3.35111754454073	0.843524017174404	0.454721723960828
CK11	1499	1552.80434782609	1552.9986264252	3.81625595257767	0.876458117958853	0.521877337863974
CK32	1674	1777.6204379562	1770.86107843259	3.7455016800366	0.931623807964371	0.50458253890005
